{first_ts=12000, last_ts=30000, value=21.105263157894736, key=317}
{first_ts=31000, last_ts=32000, value=32.5, key=156}
{first_ts=30000, last_ts=32000, value=20.333333333333332, key=347}
{first_ts=32000, last_ts=33000, value=35.5, key=253}
{first_ts=32000, last_ts=33000, value=33.5, key=169}
{first_ts=20000, last_ts=33000, value=17.857142857142858, key=500}
{first_ts=36000, last_ts=37000, value=31.5, key=276}
{first_ts=36000, last_ts=37000, value=30.5, key=221}
{first_ts=36000, last_ts=38000, value=21.666666666666668, key=870}
{first_ts=37000, last_ts=38000, value=32.0, key=148}
{first_ts=37000, last_ts=38000, value=31.5, key=304}
{first_ts=37000, last_ts=38000, value=31.0, key=277}
{first_ts=37000, last_ts=38000, value=37.0, key=333}
{first_ts=38000, last_ts=39000, value=19.5, key=622}
{first_ts=38000, last_ts=39000, value=28.5, key=218}
{first_ts=37000, last_ts=39000, value=20.666666666666668, key=347}
{first_ts=38000, last_ts=39000, value=32.5, key=298}
{first_ts=39000, last_ts=40000, value=31.5, key=343}
{first_ts=39000, last_ts=40000, value=30.5, key=324}
{first_ts=39000, last_ts=40000, value=34.5, key=355}
{first_ts=40000, last_ts=41000, value=20.5, key=500}
{first_ts=38000, last_ts=43000, value=16.666666666666668, key=422}
{first_ts=41000, last_ts=44000, value=38.25, key=386}
{first_ts=11000, last_ts=44000, value=20.735294117647058, key=327}
{first_ts=44000, last_ts=45000, value=32.5, key=317}
{first_ts=42000, last_ts=46000, value=20.0, key=622}
{first_ts=35000, last_ts=46000, value=21.5, key=557}
{first_ts=45000, last_ts=46000, value=37.0, key=634}
{first_ts=45000, last_ts=46000, value=33.0, key=544}
{first_ts=46000, last_ts=47000, value=31.5, key=526}
{first_ts=46000, last_ts=47000, value=18.5, key=1088}
{first_ts=47000, last_ts=48000, value=32.5, key=430}
{first_ts=48000, last_ts=49000, value=28.0, key=391}
{first_ts=48000, last_ts=49000, value=31.5, key=585}
{first_ts=47000, last_ts=50000, value=30.75, key=347}
{first_ts=49000, last_ts=50000, value=29.5, key=531}
{first_ts=49000, last_ts=51000, value=19.0, key=622}
{first_ts=52000, last_ts=53000, value=29.5, key=616}
{first_ts=52000, last_ts=54000, value=22.0, key=1206}
{first_ts=56000, last_ts=57000, value=28.5, key=490}
{first_ts=56000, last_ts=57000, value=28.5, key=500}
{first_ts=60000, last_ts=61000, value=28.5, key=622}
{first_ts=62000, last_ts=63000, value=25.5, key=652}
{first_ts=63000, last_ts=64000, value=31.0, key=881}
{first_ts=63000, last_ts=64000, value=31.5, key=799}
{first_ts=63000, last_ts=66000, value=21.5, key=1222}
{first_ts=66000, last_ts=67000, value=28.5, key=870}
{first_ts=66000, last_ts=67000, value=35.0, key=905}
{first_ts=68000, last_ts=69000, value=30.5, key=876}
{first_ts=68000, last_ts=69000, value=37.0, key=1129}
{first_ts=61000, last_ts=69000, value=21.88888888888889, key=1028}
{first_ts=31000, last_ts=70000, value=20.275, key=787}
