SpeedDeltaInterval(start: 56000, end: 57000, value: 30.5, value description: avg, key: 554)
SpeedDeltaInterval(start: 54000, end: 55000, value: 28.5, value description: avg, key: 543)
SpeedDeltaInterval(start: 56000, end: 57000, value: 28.5, value description: avg, key: 500)
SpeedDeltaInterval(start: 53000, end: 54000, value: 33.0, value description: avg, key: 617)
SpeedDeltaInterval(start: 57000, end: 58000, value: 28.0, value description: avg, key: 559)
SpeedDeltaInterval(start: 28000, end: 56000, value: 20.333333333333332, value description: avg, key: 569)
SpeedDeltaInterval(start: 53000, end: 54000, value: 33.5, value description: avg, key: 570)
SpeedDeltaInterval(start: 54000, end: 55000, value: 31.5, value description: avg, key: 532)
SpeedDeltaInterval(start: 51000, end: 53000, value: 27.5, value description: avg, key: 1025)
SpeedDeltaInterval(start: 57000, end: 58000, value: 28.0, value description: avg, key: 568)
SpeedDeltaInterval(start: 53000, end: 58000, value: 34.666666666666664, value description: avg, key: 583)
SpeedDeltaInterval(start: 55000, end: 56000, value: 30.5, value description: avg, key: 561)
SpeedDeltaInterval(start: 54000, end: 55000, value: 27.5, value description: avg, key: 601)
